,title,author,date_read,date_added,rating,num_pages,avg_rating,read_count,date_published,date_started,cover_url,user_id
67,Good for a Girl: A Woman Running in a Man's World,Lauren Fleshman,2023-04-17,2023-01-24,4.0,288.0,4.53,1,2023-01-10,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663337614l/60880793._SY75_.jpg,142394620
68,The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting Up a Generation for Failure,Jonathan Haidt,,2023-01-18,,352.0,4.25,0,2018-07-17,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1513836885l/36556202._SY75_.jpg,142394620
69,"Other Minds: The Octopus, the Sea, and the Deep Origins of Consciousness",Peter Godfrey-Smith,,2023-01-15,,257.0,3.88,0,2016-12-06,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1606353700l/28116739._SX50_.jpg,142394620
70,War on Peace: The End of Diplomacy and the Decline of American Influence,Ronan Farrow,,2023-01-14,,392.0,4.16,0,2018-04-24,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1524076329l/37564532._SY75_.jpg,142394620
71,The Last Lecture,Randy Pausch,,2023-01-13,,217.0,4.26,0,2008-04-08,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529682044l/40611510._SX50_.jpg,142394620
72,In Order to Live: A North Korean Girl's Journey to Freedom,Yeonmi Park,,2023-01-12,,273.0,4.49,0,2015-09-25,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437799970l/24611623._SY75_.jpg,142394620
73,Circe,Madeline Miller,2023-05-30,2023-01-12,4.0,393.0,4.24,1,2018-04-10,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565909496l/35959740._SY75_.jpg,142394620
74,Of Wolves and Men,Barry Lopez,,2023-01-10,,320.0,4.21,0,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347919044l/743936._SX50_.jpg,142394620
75,Stories of Your Life and Others,Ted Chiang,,2023-01-10,,281.0,4.26,0,2002-07-05,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356138316l/223380._SY75_.jpg,142394620
76,Die with Zero: Getting All You Can from Your Money and Your Life,Bill Perkins,2023-02-13,2023-01-10,3.0,240.0,3.94,1,2020-07-28,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562897713l/52950915._SY75_.jpg,142394620
77,Tribe: On Homecoming and Belonging,Sebastian Junger,,2023-01-10,,182.0,4.02,0,2016-06-21,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532479315l/40940205._SY75_.jpg,142394620
78,"Enemy at the Gates        (Mitch Rapp, #20)",Kyle Mills,2023-01-03,2023-01-03,3.0,384.0,4.43,1,2021-09-14,2023-01-03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1617837222l/56921032._SY75_.jpg,142394620
79,"Denali: A Man, a Dog, and the Friendship of a Lifetime",Ben Moon,2023-01-20,2023-01-03,3.0,288.0,4.08,1,2020-01-14,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1552974171l/43669269._SY75_.jpg,142394620
80,"The Rise and Fall of American Growth: The U.S. Standard of Living since the Civil War        (The Princeton Economic History of the Western World, 60)",Robert J. Gordon,,2023-01-02,,784.0,4.19,0,2016-01-26,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452192998l/26634594._SY75_.jpg,142394620
81,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,,2023-01-02,,304.0,4.22,0,2014-10-01,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386609333l/18176747._SY75_.jpg,142394620
82,"Total Power        (Mitch Rapp, #19)",Kyle Mills,2022-12-29,2022-12-30,4.0,380.0,4.29,1,2020-09-15,2022-12-28,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594165320l/49864047._SY75_.jpg,142394620
83,"The Upside of Stress: Why Stress Is Good for You, and How to Get Good at It",Kelly McGonigal,,2022-12-28,,294.0,4.07,0,2012-03-19,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413129464l/23281639._SY75_.jpg,142394620
84,The Remains of the Day,Kazuo Ishiguro,2023-01-08,2022-12-28,3.0,258.0,4.14,1,1989-05-01,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327128714l/28921._SY75_.jpg,142394620
85,The Spy and the Traitor: The Greatest Espionage Story of the Cold War,Ben Macintyre,2023-04-12,2022-12-27,5.0,384.0,4.51,1,2018-09-18,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522906662l/37542581._SY75_.jpg,142394620
86,"Neverwhere        (London Below, #1)",Neil Gaiman,,2022-12-27,,370.0,4.17,0,1996-09-16,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348747943l/14497._SX50_.jpg,142394620
87,Sea of Tranquility,Emily St. John Mandel,2022-12-25,2022-12-21,4.0,259.0,4.1,1,2022-04-05,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1626710416l/58446227._SX50_.jpg,142394620
88,Blood and Oil: Mohammed bin Salman's Ruthless Quest for Global Power,Bradley Hope,2023-02-20,2022-12-21,4.0,368.0,4.27,1,2020-09-01,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598831558l/52038578._SY75_.jpg,142394620
